City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Maxixe,MZ,71.47,Clear,-23.8597,35.3472,Oceano
134,Balancan,MX,73.8,Clouds,17.8,-91.5333,Hotel Balam Ku
136,Buchanan,LR,73.94,Clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
141,Thinadhoo,MV,81.25,Clouds,0.5333,72.9333,
142,Vila Velha,BR,71.55,Clouds,-20.3297,-40.2925,Hotel Vitória Palace
143,Hami,CN,77.68,Clear,42.8,93.45,Laoyutang Resort
149,Zlitan,LY,82.72,Clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
152,Iralaya,HN,79.79,Clouds,15.0,-83.2333,Iglesia morava renovada
155,Carnarvon,AU,76.37,Clear,-24.8667,113.6333,Hospitality Carnarvon
156,Hays,US,79.03,Clear,30.0502,-98.0336,CHAPEL HOME
159,El Retorno,CO,74.53,Clouds,2.3302,-72.6276,Hostal la posada de Rita
160,Richards Bay,ZA,71.29,Clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
162,Pailon,BO,74.3,Clouds,-17.65,-62.75,La plaza
164,Uarini,BR,78.85,Clouds,-2.99,-65.1083,
170,Alta Floresta,BR,71.33,Clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
